"","type","simulations","p1","p2","Beta1","Beta2","est_Beta1_mean","est_Beta1_sd","est_Beta1_mean_SE","est_Beta2_mean","est_Beta2_sd","est_Beta2_mean_SE","cov_beta1","cov_beta2","fit_correct","fit_set"
"63","all data","500","-2","-2","1","2","1.07544665489823","3.74656042463533","3.59806616909969","1.90754216028439","6.6756641257947","6.49027170305786","0.94","0.946","0.224","0.976"
"64","summerised","500","-2","-2","1","2","1.07593484451002","3.74838212094893","3.59899376158791","1.90749689092977","6.67978815425534","6.49196384338722","0.94","0.946","0.236","0.984"
"65","all data","500","-2","-2","2","1","2.02094934818225","3.73777152458814","3.59644100992595","0.625263247203698","6.71613027442346","6.48717954950138","0.94","0.948","0.216","0.972"
"66","summerised","500","-2","-2","2","1","2.02130648148794","3.73868482237733","3.59570330910093","0.623595028680265","6.71765866783383","6.48585786196785","0.94","0.948","0.232","0.974"
"67","all data","500","-2","-1","0","0","0.0454100758777189","5.69205997228646","5.97785011171513","-0.043007714473776","3.93832586542265","4.14541046674135","0.962","0.962","0.02","0.978"
"68","summerised","500","-2","-1","0","0","0.0455455273955956","5.69395934797428","5.97749651932493","-0.0432631580926139","3.93974531496657","4.14516333793482","0.962","0.962","0.022","0.988"
"69","all data","500","-2","-1","1","2","1.1817635004215","5.82281123243327","6.00482384741725","1.84720356281887","3.99930669032001","4.16601518039175","0.972","0.968","0.008","0.978"
"70","summerised","500","-2","-1","1","2","1.18113455818676","5.82141578446695","6.00312496226927","1.84721879551307","3.99838563726213","4.16483682601775","0.972","0.968","0.008","0.988"
"71","all data","500","-2","-1","2","1","2.15269111330613","5.82748867166002","5.96538417994285","0.855000764233273","4.04184858509532","4.13924933095908","0.952","0.95","0.02","0.964"
"72","summerised","500","-2","-1","2","1","2.15090167876712","5.82511121414753","5.96504856829214","0.856114847304319","4.0409333041153","4.13902281970669","0.952","0.95","0.02","0.966"
"73","all data","500","-2","-0.5","0","0","-0.156652643597524","3.69579806879605","3.85639198492801","0.156452502086645","2.93847775500149","3.08639772109172","0.968","0.96","0.008","0.974"
"74","summerised","500","-2","-0.5","0","0","-0.157373977028301","3.69222952789042","3.8554296442501","0.156809233607985","2.9357028356276","3.08563092797496","0.968","0.96","0.008","0.976"
"75","all data","500","-2","-0.5","1","2","0.716176980959531","3.98367474832813","3.82798899569904","2.12547255428195","3.22551813633039","3.0654910679522","0.95","0.942","0.002","0.986"
"76","summerised","500","-2","-0.5","1","2","0.713492380554696","3.98320125359148","3.82769347566916","2.12737530988145","3.2273820091979","3.06525915004747","0.95","0.94","0.002","0.992"
"77","all data","500","-2","-0.5","2","1","2.17805270719413","3.87598716796317","3.85825493211734","0.834617130952258","3.02965746590597","3.087925123595","0.952","0.958","0.01","0.976"
"78","summerised","500","-2","-0.5","2","1","2.17608307665402","3.87373401805343","3.85801831915913","0.835885062008977","3.02851481795382","3.08773903909051","0.952","0.958","0.012","0.98"
"79","all data","500","-2","0","0","0","0.160451226446157","2.73944464842558","2.798135354593","0.0256984928605647","0.614962157201601","0.63452912206279","0.966","0.96","0.006","0.988"
"80","summerised","500","-2","0","0","0","0.160091977862457","2.73964245939352","2.79813035516421","0.0256364397431863","0.615077526090454","0.634528960039177","0.966","0.96","0.006","0.988"
"81","all data","500","-2","0","1","2","1.02911126170898","2.76218856271681","2.7955530199657","2.00511740756462","0.622102935581436","0.633614317653305","0.964","0.97","0.028","0.976"
"82","summerised","500","-2","0","1","2","1.02879270387787","2.76280843254627","2.79571417959198","2.00521833230713","0.622105160257314","0.633650900730055","0.964","0.968","0.03","0.976"
"83","all data","500","-2","0","2","1","2.02779027595115","2.85439184454372","2.78555205992285","1.01081826019121","0.633430367198771","0.631804934031047","0.948","0.942","0.012","0.97"
"84","summerised","500","-2","0","2","1","2.0276972988434","2.85415554083515","2.78502369239937","1.01075942749955","0.633506307752046","0.631686507899349","0.948","0.942","0.012","0.982"
