,type,simulations,p1,p2,Beta1,Beta2,est_Beta1_mean,est_Beta1_sd,est_Beta1_mean_SE,est_Beta2_mean,est_Beta2_sd,est_Beta2_mean_SE,cov_beta1,cov_beta2,fit_correct,fit_set
80,summerised,500,-2,0,0,0,0.160091978,2.739642459,2.798130355,0.02563644,0.615077526,0.63452896,0.966,0.96,0.006,0.988
81,all data,500,-2,0,1,2,1.029111262,2.762188563,2.79555302,2.005117408,0.622102936,0.633614318,0.964,0.97,0.028,0.976
82,summerised,500,-2,0,1,2,1.028792704,2.762808433,2.79571418,2.005218332,0.62210516,0.633650901,0.964,0.968,0.03,0.976
83,all data,500,-2,0,2,1,2.027790276,2.854391845,2.78555206,1.01081826,0.633430367,0.631804934,0.948,0.942,0.012,0.97
84,summerised,500,-2,0,2,1,2.027697299,2.854155541,2.785023692,1.010759427,0.633506308,0.631686508,0.948,0.942,0.012,0.982
85,all data,500,-2,0.5,0,0,0.165799736,2.164458075,2.161183831,0.040165982,0.543105121,0.543692615,0.946,0.944,0.002,0.99
86,summerised,500,-2,0.5,0,0,0.16558662,2.165559417,2.161674588,0.040149006,0.543305032,0.543816565,0.946,0.944,0.002,0.994
87,all data,500,-2,0.5,1,2,0.857459576,2.172920092,2.189388968,1.958667606,0.560307356,0.552658825,0.962,0.942,0.02,0.966
88,summerised,500,-2,0.5,1,2,0.856729001,2.171831657,2.189303873,1.958511453,0.559419923,0.552637549,0.96,0.944,0.02,0.974
89,all data,500,-2,0.5,2,1,1.882701842,2.096334563,2.166403794,0.979507709,0.541162817,0.545796914,0.96,0.95,0.012,0.976
90,summerised,500,-2,0.5,2,1,1.882905747,2.097267027,2.166416372,0.979679871,0.541606474,0.545798351,0.958,0.948,0.012,0.982
91,all data,500,-2,1,0,0,-0.007109859,0.1202493,0.119927128,-0.11493664,1.768696449,1.762182008,0.948,0.95,0.018,0.978
92,summerised,500,-2,1,0,0,-0.007141317,0.120258164,0.119908648,-0.115524592,1.768756763,1.761904217,0.948,0.95,0.018,0.984
93,all data,500,-2,1,1,2,1.991871246,0.13890052,0.139266015,0.906185882,1.957828436,1.966892205,0,0.906,0.072,0.944
94,summerised,500,-2,1,1,2,1.991746616,0.138529385,0.139246628,0.906307343,1.957766922,1.966618008,0,0.906,0.074,0.948
95,all data,500,-2,1,2,1,0.995807007,0.127771527,0.130172296,1.909713617,1.809299866,1.869292839,0,0.924,0.05,0.964
96,summerised,500,-2,1,2,1,0.995801081,0.127894234,0.130161522,1.909572403,1.809048097,1.869124273,0,0.924,0.05,0.972
97,all data,500,-2,2,0,0,0.022629676,1.356148324,1.305003691,0.000237975,0.012208253,0.011770843,0.934,0.936,0.008,0.994
98,summerised,500,-2,2,0,0,0.022571864,1.355114188,1.304655393,0.000236986,0.012208452,0.01176769,0.934,0.936,0.008,0.994
99,all data,500,-2,2,1,2,0.49526496,2.795557721,2.496331269,2.025767471,0.032033743,0.029440791,0.922,0.834,0.284,0.944
100,summerised,500,-2,2,1,2,0.496432184,2.795454712,2.496514589,2.02604316,0.031403862,0.029443104,0.922,0.824,0.294,0.944
101,all data,500,-2,2,2,1,1.525955,1.880042597,1.856362479,1.011521905,0.021474433,0.021191059,0.948,0.914,0.194,0.956
102,summerised,500,-2,2,2,1,1.52573166,1.879535819,1.856199809,1.011483102,0.020989289,0.02118918,0.948,0.912,0.204,0.958
103,all data,500,-2,3,0,0,0.091520003,1.08631589,1.08563915,3.86E-05,0.001408059,0.001490325,0.958,0.958,0.01,0.988
104,summerised,500,-2,3,0,0,0.091230338,1.085908362,1.085699513,3.86E-05,0.001407626,0.001490415,0.958,0.958,0.086,0.992
105,all data,500,-2,3,1,2,-5.003577398,8.583280178,6.579966383,2.05404852,0.024896173,0.018338677,0.792,0.242,0.312,0.94
106,summerised,500,-2,3,1,2,-4.998584615,8.577197608,6.577937211,2.053509007,0.02424739,0.018332947,0.792,0.236,0.432,0.96
107,all data,500,-2,3,2,1,-1.232721114,4.32298278,3.547147103,1.026734651,0.012745414,0.00978245,0.822,0.256,0.33,0.966
108,summerised,500,-2,3,2,1,-1.23093254,4.320557707,3.545566143,1.026323147,0.012274268,0.009778078,0.822,0.274,0.426,0.98
109,all data,500,-1,-3,0,0,0.032677091,2.270009316,2.279811115,-0.088655731,6.119705051,6.0595396,0.942,0.942,0,0.974
110,summerised,500,-1,-3,0,0,0.032781678,2.270145917,2.279844434,-0.089240524,6.120479042,6.059613444,0.942,0.942,0,0.984
111,all data,500,-1,-3,1,2,1.128735735,2.302899182,2.291576282,1.558223274,6.268484702,6.091584715,0.948,0.942,0,0.986
112,summerised,500,-1,-3,1,2,1.128986837,2.300891119,2.290779186,1.556018327,6.263280196,6.089467626,0.948,0.942,0,0.988
113,all data,500,-1,-3,2,1,1.925419872,2.22911037,2.28946751,0.915010883,5.927163027,6.089233909,0.956,0.96,0,0.978
114,summerised,500,-1,-3,2,1,1.924670184,2.228290299,2.289039523,0.915728108,5.92580643,6.088085269,0.956,0.96,0,0.984
115,all data,500,-1,-2,0,0,-0.023661755,4.207325424,4.133382999,0.043367068,6.025941963,5.959512301,0.944,0.942,0.032,0.98
116,summerised,500,-1,-2,0,0,-0.023073994,4.211263855,4.134809012,0.042486332,6.031409971,5.961567177,0.944,0.942,0.036,0.984
117,all data,500,-1,-2,1,2,0.80883828,4.109839597,4.151737723,2.157048104,5.91653778,5.985168634,0.942,0.954,0.026,0.978
118,summerised,500,-1,-2,1,2,0.808081531,4.108820333,4.150948284,2.157195802,5.915503537,5.984027991,0.942,0.954,0.028,0.984
119,all data,500,-1,-2,2,1,2.205373023,4.150190037,4.156588046,0.633134935,6.099532131,5.98977348,0.958,0.954,0.022,0.98
